Event_LFP,Event_MUAe,BirdsN,SexB,DepthCat
69.1234944172857,65.9961328251914,F2,2,1
58.6599106894925,61.1242405689689,M2,1,1
78.495387818725,69.6358850048398,M2,1,1
85.5347178817173,76.4729500344414,F3,2,1
79.6524133876956,72.57008894929,M1,1,1
66.1271824787239,71.2845843248196,F1,2,1
80.8779433396775,73.2394729903258,M1,1,2
92.3298070612672,92.7868166795677,M2,1,2
84.8401153980652,76.0958529800614,M1,1,2
91.6862504523601,92.5435360414881,M2,1,2
89.4535153435843,93.6627763736195,M2,1,2
68.8223964297616,86.448403447416,F1,2,2
70.4386272219031,83.881161430599,F1,2,2
83.924847098888,78.2346932995956,M1,1,2
90.0703346533496,90.9631098763628,M2,1,2
85.3144192745044,88.1030508960661,F3,2,2
86.1903798498981,79.3870018039275,M1,1,3
71.4491181235693,67.8589275124294,F1,2,3
84.4006425021746,85.4067300557552,M3,1,3
87.5744341866067,91.8434317133119,M2,1,3
85.1500705861036,84.3018240069808,F3,2,3
70.2081478650335,71.6683018842186,F1,2,3
86.6497242658697,88.7273041891787,M2,1,3
74.9610505365467,74.391185909649,F1,2,3
71.3539382404307,80.3595691205446,M2,1,4
76.7268796148543,82.1902338559016,F3,2,4
83.0397839442321,81.2610214846256,F1,2,4
87.5454931474907,86.4679290791876,M3,1,4
81.294611143788,74.6283081672853,M2,1,4
83.8071288145721,81.0291739046885,F3,2,4
79.3358556649897,86.5708083865506,M1,1,4
77.8745842352956,72.2196217527144,F1,2,4
84.9534226790465,85.6455022011721,M3,1,4
75.7010891154959,68.7750181238776,M2,1,4
70.9973390269671,64.7277574296487,M2,1,4
67.4984766338276,73.2655088159281,F3,2,4
74.2292831205861,64.7706953488778,F1,2,4
82.9821951316768,84.4606776735034,M3,1,4
87.3453428670305,92.7501237318421,M1,1,5
70.5664793393959,70.0201839982377,F1,2,5
67.7732837512946,63.4196613880435,M2,1,5
84.4155155638359,88.629855053488,F2,2,5
77.2061237622865,79.2668252728258,F1,2,5
86.2875208659921,85.3614168628001,M1,1,5
72.9337028152117,76.9794528477975,F2,2,5
90.7916867570038,94.0145594667364,M4,1,2
86.4262761296418,83.1769989533429,M4,1,2
85.5977503346385,85.4095946116331,M4,1,2
85.4971627475907,85.2964555495185,M4,1,3
81.7485140239544,75.4564463312867,M4,1,3
75.0490327002015,67.6766934126487,M4,1,3
