Envelope_LFP,Envelope_MUAe,BirdsN,SexB,DepthCat
0.0225503171782896,0.0413867098739348,F2,2,1
0.0193121096362238,0.0836724664853967,M2,1,1
0.159849074814055,0.103198556105296,M2,1,1
0.274100652960844,0.238440634206284,F3,2,1
0.262650297190014,0.101732525700017,M1,1,1
0.0263265503777398,0.102489043967892,F1,2,1
0.264874734661796,0.177706572142514,M1,1,2
0.39766072293362,0.414448676339115,M2,1,2
0.357404624912101,0.347355883725932,M1,1,2
0.372047243974148,0.40348213376143,M2,1,2
0.381794010655264,0.534307436996631,M2,1,2
0.0237622374296188,0.398347799181938,F1,2,2
0.0459549568363072,0.480016589164734,F1,2,2
0.382388259304894,0.331957659456465,M1,1,2
0.362099930644035,0.425011359593447,M2,1,2
0.344128050665925,0.500277381876241,F3,2,2
0.402543491787381,0.3997199383993,M1,1,3
0.134154620269934,0.0801306497305632,F1,2,3
0.25652656853199,0.457116614580154,M3,1,3
0.370752213294046,0.497062898518746,M2,1,3
0.314911389175583,0.434430884087787,F3,2,3
0.0738747470157663,0.190822732817266,F1,2,3
0.341150348716312,0.439741541279687,M2,1,3
0.0775604758066,0.130801838083366,F1,2,3
0.129737155778067,0.456307093302409,M2,1,4
0.157908614645613,0.395882499978897,F3,2,4
0.289544130549019,0.372305301972377,F1,2,4
0.34176387488842,0.462668897509575,M3,1,4
0.197536116524747,0.258763755622663,M2,1,4
0.219463598124589,0.289381405220756,F3,2,4
0.377665611108144,0.51560465892156,M1,1,4
0.180670154591401,0.110501953711112,F1,2,4
0.274175453782082,0.447064528465271,M3,1,4
0.0818900186004061,0.0794371122663671,M2,1,4
0.0415838079793113,0.0548503875732422,M2,1,4
0.0553539472597617,0.225310177714736,F3,2,4
0.0946674562733749,0.0624571576200683,F1,2,4
0.242068181736301,0.453856629554671,M3,1,4
0.490670428160698,0.566630550930577,M1,1,5
0.0627680942416191,0.112358418293297,F1,2,5
0.0213555829566822,0.0233277960827476,M2,1,5
0.228428095579147,0.274938774736304,F2,2,5
0.143528957215566,0.275769684995924,F1,2,5
0.322697301705678,0.266597837732549,M1,1,5
0.0884488018659445,0.216680114085858,F2,2,5
0.493769717216492,0.521850115912301,M4,1,2
0.36009470471796,0.338882946743155,M4,1,2
0.406266431013743,0.432737732927005,M4,1,2
0.420007217546989,0.450627679454869,M4,1,3
0.319989355834755,0.184406532629116,M4,1,3
0.187742458992317,0.0682025551795959,M4,1,3
