PeakRate_LFP,PeakRate_MUAe,PeakEnv_LFP,PeakEnv_MUAe,BirdsN,SexB,DepthCat
21.6249165910287,15.0053133068911,21.5398982175065,13.1291399363689,F2,2,1
24.4687859888425,20.540322460029,19.6195776001268,15.1882530281373,M2,1,1
32.4258743263387,21.4079100256087,34.5662637729201,21.405534037113,M2,1,1
44.6522667818657,31.8069375444996,46.0713729874577,34.2942418798312,F3,2,1
34.6454166892981,24.1783607625876,35.0143359618673,24.2261807770199,M1,1,1
15.9335425114579,21.3661798584399,14.5271418702322,22.2514578141279,F1,2,1
33.3706709336224,24.3868196933212,35.8474120400661,25.2783126364138,M1,1,2
70.0418640506298,55.6314732614669,71.6801143700692,60.1128092712076,M2,1,2
46.9606801455447,34.9589432016938,48.3168540907389,33.7278534074636,M1,1,2
68.8729503497305,57.3570316565673,69.1030782942548,59.9385457164095,M2,1,2
60.1874533767775,63.7710273149276,62.6676365401276,66.8908609624162,M2,1,2
17.6031785345717,45.700730994152,19.0418213537409,49.2323405438731,F1,2,2
22.2611027771572,44.2810954007213,22.306404598703,47.7635538669339,F1,2,2
43.9862897985705,36.9631005618622,50.9892117399857,39.0354538058356,M1,1,2
60.269673607317,50.857891195694,62.1059281907716,56.6835114287764,M2,1,2
52.7833041683493,61.6545544737091,54.6315137478147,63.2523839112882,F3,2,2
50.9407505692335,39.6698991487433,58.1145961840345,40.5185918067386,M1,1,3
29.3832487673432,18.8881847695218,30.6659510062664,19.2714185288682,F1,2,3
53.7062125902993,60.354212246302,54.9840309329473,62.3859615616582,M3,1,3
52.5911411656075,48.066469924381,51.7825125797262,52.9142206142369,M2,1,3
48.2528354479047,52.9066983346486,52.601608942667,58.5091597151104,F3,2,3
23.228469141319,26.1883065760216,23.6370030180473,26.9693364611337,F1,2,3
53.0171998624011,49.6926575698506,56.9970119892721,56.1016238854216,M2,1,3
27.4455278584575,27.569478578192,29.8125290991781,24.3768158704643,F1,2,3
33.5251691319803,35.1030517470146,31.5778012427725,44.5483935200875,M2,1,4
29.8960067042868,44.1278645089988,40.5916384335131,53.1642566422884,F3,2,4
41.4976896974948,38.2582973410287,45.9461969165558,42.687507594055,F1,2,4
56.5424802201582,62.5688957688338,58.0016892722001,64.5925754671885,M3,1,4
40.4594409139464,29.7166476562924,41.4801075302949,32.8339406777569,M2,1,4
42.7970111428982,43.0404283854337,41.3768943670578,49.1150553452156,F3,2,4
39.181917211329,37.8156862745098,46.9975667034491,45.0270916447387,M1,1,4
37.3807082043344,21.6276892701525,37.8600273010586,23.3921188424865,F1,2,4
44.79673374613,59.2707585139319,47.7797339829074,62.681350211536,M3,1,4
28.8002053559329,18.6029932972657,30.8520230382037,19.2611730062476,M2,1,4
22.0085409602437,18.8273551525874,23.1768640470542,17.4342360548685,M2,1,4
18.642007160239,28.4762960414835,20.7583569490174,27.0772867006097,F3,2,4
30.2549227192389,17.4219482106212,32.1384435641935,20.6871739786494,F1,2,4
42.2260374644275,56.0484097945398,46.8606844087658,59.4504861696906,M3,1,4
53.6822797030527,57.9867893960074,57.336076376324,59.1222860497803,M1,1,5
23.3673890608875,19.7354956785346,24.271853877117,23.2328171001255,F1,2,5
19.3591964948491,16.0506098407353,21.1096205739354,15.4835990749303,M2,1,5
38.796127315192,46.4605874205638,43.9188471283754,51.8800240233758,F2,2,5
29.3965059708094,30.6857011810572,35.8922622743941,38.1226999039914,F1,2,5
42.1589327636256,39.2189421782871,44.2345347999576,40.4806334800632,M1,1,5
24.1383001243682,30.3573734487047,26.864548420276,31.9779914787655,F2,2,5
56.2509803921569,57.1663595262666,61.8786087002584,59.7403817986525,M4,1,2
51.1431450435189,40.1583166202595,55.6903812350976,42.0266657714815,M4,1,2
46.73674750602,42.0730592821924,50.9248630339962,47.0452144175054,M4,1,2
47.8479710093354,46.070430471039,50.1254028257071,50.3069112482479,M4,1,3
38.4837414814195,32.4651726029435,42.1451219825833,34.2530173412526,M4,1,3
31.2189401501181,19.0303648062619,35.18675857406,19.5174843540575,M4,1,3
