Session_Number,Perf_LFP,Perf_MUAe,Name,Sex,Depth
1,21.6249165910287,15.0053133068911,F2,2,1
2,24.4687859888425,20.540322460029,M2,1,1
3,32.4258743263387,21.4079100256087,M2,1,1
4,44.6522667818657,31.8069375444996,F3,2,1
5,34.6454166892981,24.1783607625876,M1,1,1
6,15.9335425114579,21.3661798584399,F1,2,1
7,33.3706709336224,24.3868196933212,M1,1,2
8,70.0418640506298,55.6314732614669,M2,1,2
9,46.9606801455447,34.9589432016938,M1,1,2
10,68.8729503497305,57.3570316565673,M2,1,2
11,60.1874533767775,63.7710273149276,M2,1,2
12,17.6031785345717,45.700730994152,F1,2,2
13,22.2611027771572,44.2810954007213,F1,2,2
14,43.9862897985705,36.9631005618622,M1,1,2
15,60.269673607317,50.857891195694,M2,1,2
16,52.7833041683493,61.6545544737091,F3,2,2
17,50.9407505692335,39.6698991487433,M1,1,3
18,29.3832487673432,18.8881847695218,F1,2,3
19,53.7062125902993,60.354212246302,M3,1,3
20,52.5911411656075,48.066469924381,M2,1,3
21,48.2528354479047,52.9066983346486,F3,2,3
22,23.228469141319,26.1883065760216,F1,2,3
23,53.0171998624011,49.6926575698506,M2,1,3
24,27.4455278584575,27.569478578192,F1,2,3
25,33.5251691319803,35.1030517470146,M2,1,4
26,29.8960067042868,44.1278645089988,F3,2,4
27,41.4976896974948,38.2582973410287,F1,2,4
28,56.5424802201582,62.5688957688338,M3,1,4
29,40.4594409139464,29.7166476562924,M2,1,4
30,42.7970111428982,43.0404283854337,F3,2,4
31,39.181917211329,37.8156862745098,M1,1,4
32,37.3807082043344,21.6276892701525,F1,2,4
33,44.79673374613,59.2707585139319,M3,1,4
34,28.8002053559329,18.6029932972657,M2,1,4
35,22.0085409602437,18.8273551525874,M2,1,4
36,18.642007160239,28.4762960414835,F3,2,4
37,30.2549227192389,17.4219482106212,F1,2,4
38,42.2260374644275,56.0484097945398,M3,1,4
39,53.6822797030527,57.9867893960074,M1,1,5
40,23.3673890608875,19.7354956785346,F1,2,5
41,19.3591964948491,16.0506098407353,M2,1,5
42,38.796127315192,46.4605874205638,F2,2,5
43,29.3965059708094,30.6857011810572,F1,2,5
44,42.1589327636256,39.2189421782871,M1,1,5
45,24.1383001243682,30.3573734487047,F2,2,5
46,56.2509803921569,57.1663595262666,M4,1,2
47,51.1431450435189,40.1583166202595,M4,1,2
48,46.73674750602,42.0730592821924,M4,1,2
49,47.8479710093354,46.070430471039,M4,1,3
50,38.4837414814195,32.4651726029435,M4,1,3
51,31.2189401501181,19.0303648062619,M4,1,3
